throuphput_KLONGTEI,throuphput_KASEMRAT,throuphput_NARANONG,throuphput_SUNLAKAKHON,throuphput_RAMA4,throuphput,mean_speed,jamlength_percent
25,7,14,3,16,72,0.8794782111752866,31.151959939738877
6,6,14,1,4,35,0.827183976716294,32.00559108560397
7,9,8,2,17,51,0.94460918837398,31.492940323378722
12,4,6,4,7,33,0.8639522060498904,31.686957875278647
19,0,5,0,11,44,0.857852089398216,31.343890478729914
8,6,6,0,5,33,0.8696007042302158,31.92419692993638
3,6,8,2,17,44,0.9319793065318029,31.12912789679898
7,12,12,4,8,43,0.8178455306154209,31.606462920614433
14,5,4,3,5,37,0.7621331332103564,32.26463742793459
6,5,6,2,16,41,0.8172965947614783,32.52289476270656
10,3,7,1,6,27,0.8103579324650338,32.86628752266623
11,7,4,1,8,31,0.8567570558409024,33.69639662374864
8,4,5,1,11,36,0.8176308714406753,33.60901906947071
3,0,9,3,10,25,0.6837974851951129,34.86775687084679
0,11,8,3,6,34,0.7143343212316796,34.56637945687217
2,3,5,2,4,16,0.6668509537103153,34.576484084472064
0,11,6,2,13,38,0.695064888493573,34.573609025476436
12,4,8,3,12,44,0.6808318628928666,35.062442863204446
4,4,2,3,3,26,0.7357859101283598,34.77581536562105
9,4,5,3,9,32,0.6872845655435058,35.278220939516586
3,7,6,2,2,28,0.6283619623211512,35.35881380978611
5,3,8,3,1,20,0.5627830574524161,36.08107433607015
1,2,9,0,0,17,0.5698374937636121,36.041538874381025
0,4,2,0,15,26,0.5368844744142875,36.49295999860829
9,5,7,1,8,36,0.5026516581965182,36.40090502205813
0,2,7,1,0,11,0.4242995016628299,37.00604978025207
2,0,10,2,8,28,0.5030956197119991,37.06569795571454
0,6,0,4,2,13,0.3718072198187825,38.25881762169594
9,0,1,0,1,17,0.3712049661872173,38.68142792192878
1,8,6,17,4,36,0.36399657341862973,39.416782459782
4,0,0,4,1,9,0.3235118674040571,40.02324455856604
0,8,1,0,3,17,0.32701297376015925,40.19239323461086
3,5,3,4,3,22,0.31735192161086384,40.27476421500319
0,4,5,9,0,23,0.31873508486193497,39.18384885678725
2,0,5,13,1,21,0.31875289463875384,39.21936167479399
1,9,7,5,6,28,0.3473846952899943,39.55657619461703
