throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,5,0,0,0,5,0.032904116762292886,59.14518985149543,3669
0,0,5,0,0,0,5,0.024847279375739266,59.08377740919964,3666
0,0,3,0,0,0,3,0.027479967181168564,59.09110068307252,3668
0,0,0,0,6,0,6,0.033520331267556304,59.0908986374265,3673
0,0,1,0,6,0,7,0.03205148895242893,59.209944894754564,3675
2,0,0,0,8,0,10,0.0401266299918962,59.24288906058704,3671
1,0,0,0,0,0,1,0.0102264185508633,59.396860977779326,3672
0,0,0,0,1,0,1,0.022926697246487774,59.437199671888685,3680
1,0,0,0,1,0,2,0.015107897444386727,59.59699307082215,3685
0,0,0,0,2,1,3,0.02667532557641992,59.5984376865339,3691
0,0,1,0,7,0,8,0.0364934041768232,59.44024748988248,3690
0,0,0,0,3,0,3,0.045336456349048856,59.202866708726845,3688
3,0,0,0,1,0,4,0.04482912036472379,59.56298480598248,3695
0,0,0,0,0,0,0,0.028624197112918873,59.78689650884992,3701
0,0,0,0,0,1,1,0.018999311133617462,59.8953306415086,3701
0,0,0,0,0,0,0,0.021252030371254838,59.88919044019926,3706
0,0,0,0,0,0,0,0.03066618632890879,59.77587478325598,3712
2,0,0,0,0,0,2,0.026131492481809647,59.53585472805262,3718
0,0,0,0,3,1,4,0.02528655298875462,59.711661344672436,3719
0,0,0,0,4,1,5,0.023443788763773243,60.19354112441624,3720
0,0,0,0,1,1,2,0.019908621857263557,60.20162309420455,3722
0,0,0,0,0,0,0,0.015015777535410753,60.251650758008196,3723
0,0,1,0,0,1,2,0.025795178306112714,60.30124141471239,3733
1,0,1,0,0,1,3,0.01837914455076362,60.42237546624251,3736
0,0,0,0,1,0,1,0.03370949047109633,60.41843985297178,3744
0,0,2,0,4,0,6,0.03029841352862113,60.47163195864512,3742
0,0,0,0,1,0,1,0.016389038691207773,60.53894823303056,3743
1,0,0,0,0,0,1,0.024003743439857266,60.56321736086273,3746
0,0,0,0,0,0,0,0.012799417925387059,60.63400987184324,3750
0,0,1,0,0,0,1,0.025049559624043007,60.700539697770324,3758
1,0,4,0,0,0,5,0.026735698125026942,60.468708428149924,3754
0,0,6,0,0,1,7,0.04418629528937117,60.37085933536263,3755
0,0,5,0,0,0,5,0.05549192892773853,60.228761861003434,3756
0,0,5,0,5,1,11,0.058740389984218794,60.27363458132233,3752
1,0,5,0,1,0,7,0.08304658146425874,60.00269324083863,3756
0,0,1,0,1,0,2,0.06251141090811523,59.85266884494557,3756
0,0,0,0,1,0,1,0.04032235836524568,60.0961134449244,3759
0,0,0,0,0,2,2,0.0330085670644256,60.193370474980114,3764
0,0,0,0,1,1,2,0.029522094530105732,60.54319938016306,3767
0,0,1,0,2,0,3,0.023029429820038014,60.551929034692805,3768
0,0,1,0,8,0,9,0.03573373465816988,60.34985257591265,3765
0,0,0,0,4,0,4,0.05479296158690205,59.97856570924208,3769
0,0,0,0,6,1,7,0.10883982808403624,59.587136965611194,3773
0,0,0,0,0,0,0,0.0837804633158636,59.85325018243567,3781
0,0,0,0,0,0,0,0.02866529588163442,60.53326308791437,3783
1,0,0,0,0,1,2,0.03480091169545832,60.36187775116294,3783
0,0,0,0,0,0,0,0.03261951625460955,60.52791280866279,3790
0,0,0,0,0,0,0,0.012902199051925071,60.24052729403054,3790
0,0,0,0,1,0,1,0.014376090009434392,60.98923860986746,3793
0,0,0,0,0,1,1,0.016680752348464317,61.05181558581836,3797
0,0,1,0,0,2,3,0.009309250743506046,61.06741030790419,3796
0,0,0,0,0,0,0,0.01837146523976504,60.93006188982008,3803
0,0,0,0,0,0,0,0.027389346294884542,61.12463730508904,3808
0,0,1,0,1,1,3,0.021770834447160936,61.18722706400162,3808
0,0,1,0,2,0,3,0.016201387741743668,61.21834917249333,3810
0,0,1,0,11,0,12,0.060731337223646965,60.916988752919345,3808
0,0,2,0,12,2,16,0.06983088652854769,60.94323632752762,3811
1,0,7,0,2,1,11,0.06120039280362423,61.04636251414869,3815
0,0,7,0,0,0,7,0.047859826497217865,61.1071602371486,3816
0,0,0,0,0,0,0,0.03348135647828844,61.14352501892548,3823
1,0,0,0,0,1,2,0.017582263936079364,61.383102529851264,3823
0,0,0,0,0,0,0,0.020421151539808096,61.43001801807299,3826
0,0,4,0,0,0,4,0.012312309007271358,61.38020491074854,3824
0,0,6,0,6,0,12,0.017057178539611213,61.12239073733247,3813
0,0,5,0,0,0,5,0.029416744052858067,61.18182157741098,3817
1,0,5,0,1,0,7,0.03262074539800672,61.094593790916655,3815
0,0,5,0,0,0,5,0.029743787184523227,61.050296690620236,3811
0,0,2,0,0,1,3,0.03262478779693977,60.80627102404667,3807
0,0,0,0,0,1,1,0.027468847589271782,60.97671129789282,3810
0,0,0,0,2,0,2,0.01617958795166144,61.10668709049819,3813
0,0,0,0,9,0,9,0.07178010673628353,60.136885466277654,3814
0,0,1,0,5,1,7,0.07254981643458401,59.33811422778817,3817
1,0,2,0,6,0,9,0.05494422355937036,59.47467526079995,3818
0,0,2,0,0,1,3,0.04424394045588537,59.47559181075893,3821
0,0,0,0,0,0,0,0.04804182755230664,59.59348451432786,3828
0,0,0,0,0,2,2,0.038998767018712854,59.745479380064744,3829
0,0,0,0,0,0,0,0.053550458660693176,58.29360079647927,3825
0,0,0,0,0,0,0,0.04299635938296105,58.546922864093595,3826
0,0,0,0,5,0,5,0.049613049156139476,59.15270925252572,3829
0,0,0,0,0,0,0,0.041357759026360456,58.55016383479419,3834
0,0,1,0,2,1,4,0.03340142354722062,59.85941453652254,3835
0,0,0,0,1,0,1,0.025042680254841784,59.322728621287,3836
0,0,0,0,0,0,0,0.019032455317648373,58.82854214081337,3837
0,0,0,0,0,0,0,0.024263016209677885,59.441065015802444,3842
0,0,0,0,1,0,1,0.029422090287371132,59.52537544597828,3848
0,0,0,0,10,0,10,0.04611248906321284,59.38598364089124,3845
0,0,2,0,2,0,4,0.049595029361036894,59.738753133197434,3848
0,0,5,0,0,0,5,0.04985408049668313,59.94636118556142,3856
1,0,1,0,0,0,2,0.0373422465120381,60.0800645343109,3857
0,0,0,0,0,0,0,0.03094732998724704,60.136101232699346,3859
0,0,0,0,0,0,0,0.027726528004548955,60.21120562143144,3864
0,0,1,0,0,0,1,0.029507776946360302,60.22700679482279,3866
0,0,0,0,0,0,0,0.02116095633930325,60.29175326587371,3868
0,0,0,0,6,0,6,0.020721208977575765,60.29306601883163,3865
0,0,2,0,0,0,2,0.029273806400589842,60.32067627257969,3871
0,0,4,0,0,0,4,0.03422127801119405,60.10847867138428,3866
0,0,5,0,1,0,6,0.02734683731675555,60.09386187801456,3863
1,0,5,0,0,0,6,0.04103818518441018,60.0522943669209,3865
0,0,5,0,0,0,5,0.04130762277862503,59.97471316436632,3860
0,0,3,0,2,0,5,0.047884892284286086,59.89540539775114,3862
0,0,2,0,5,0,7,0.06293919354765642,59.781979233491114,3859
0,0,1,0,5,0,6,0.10551463622219727,59.53685793083016,3865
0,0,1,0,5,0,6,0.09177692621179573,59.650403052432324,3866
0,0,1,0,1,0,2,0.12288531944859242,58.42524195264297,3870
0,0,0,0,0,0,0,0.11689652023262354,57.70369493178059,3872
0,0,0,0,0,0,0,0.11030601910329271,58.03884884861697,3877
1,0,0,0,0,0,1,0.10095295672429926,58.139934696932876,3883
0,0,0,0,0,0,0,0.10821084000775653,58.39629449945919,3885
0,0,0,0,3,0,3,0.1087077233328608,58.32243980480524,3879
0,0,0,0,1,0,1,0.09120533388699784,58.5066729434555,3885
0,0,0,0,0,0,0,0.09955926475758667,58.60279677061597,3892
0,0,0,0,0,0,0,0.10110832000587908,58.8179661179091,3895
0,0,0,0,0,0,0,0.10679950460260977,58.90174150904529,3898
0,0,0,0,0,0,0,0.08520152379486245,58.958421307424075,3899
0,0,0,0,1,0,1,0.05957571110548978,59.2727285331551,3902
0,0,0,0,0,0,0,0.04777644495458422,59.507622168262614,3903
0,0,0,0,0,0,0,0.038096901617682054,59.629910665068856,3905
